search_term	match_term	match_type	gene	drug	interaction_types	sources	pmids
KRAS	KRAS	Definite	KRAS	EVEROLIMUS	""	ClearityFoundationBiomarkers|CKB	23629727|20664174|20664172|26725216|22662154
KRAS	KRAS	Definite	KRAS	NILOTINIB	""	CKB	26725216
KRAS	KRAS	Definite	KRAS	IRINOTECAN	""	CKB	25567130|24042735|23209031|16707468|25714871|26341920|21325073|24798549|25322874
KRAS	KRAS	Definite	KRAS	PAZOPANIB	""	CKB	26324075
KRAS	KRAS	Definite	KRAS	PALBOCICLIB	""	OncoKB|CKB|CGI|CIViC	25609064|20736363|26515496|24746704|15483017|23200175|1291017|20609353|26728409|25787767|26658964|25792301|23934108|22805291|15801831|26837474|24908424|25801412|15542782|26369631|27167191|26028255
KRAS	KRAS	Definite	KRAS	PACLITAXEL	""	CKB|CIViC	16043828|22139083|26307133|21216929
KRAS	KRAS	Definite	KRAS	SUNITINIB	""	CKB	26864210|23455880
KRAS	KRAS	Definite	KRAS	DOCETAXEL	""	OncoKB|CKB|CGI|CIViC	24746704|23200175|20609353|26728409|25792301|23934108|22805291|15801831|26837474|24908424|27876675|25801412|26125448|15542782|28492898
KRAS	KRAS	Definite	KRAS	SORAFENIB	""	CKB|CGI	23629727|26743856|23224737|26307133|25294897|27480147|25363205
KRAS	KRAS	Definite	KRAS	DASATINIB	""	CKB|CIViC	26855149|27231123|28280091|27222538|20956938|26725216
KRAS	KRAS	Definite	KRAS	GEMCITABINE	""	CKB|CGI|CIViC	26540314|27167172|26156229|24915778|26091808|27975152|26228206|21862683
KRAS	KRAS	Definite	KRAS	CAPECITABINE	""	CKB	""
KRAS	KRAS	Definite	KRAS	SIROLIMUS	""	CKB	26144316|26882569
KRAS	KRAS	Definite	KRAS	TEMSIROLIMUS	""	ClearityFoundationBiomarkers|CKB	21216929|26725216|27016228
KRAS	KRAS	Definite	KRAS	PANOBINOSTAT	""	CKB	22693356|19490892|26725216
KRAS	KRAS	Definite	KRAS	FLUOROURACIL	""	CKB	26341920
KRAS	KRAS	Definite	KRAS	LENALIDOMIDE	""	CKB	27458141
KRAS	KRAS	Definite	KRAS	CARBOPLATIN	""	CKB|CIViC	25637314|16043828|22139083|26307133|21216929|27998224
KRAS	KRAS	Definite	KRAS	OXALIPLATIN	""	CKB	26540314|26341920|23209813|21468686
